Number,SAS NAME,Utilization Flag,UB04 Code,PRCCS,ICD-10-PCS,ICD-10-PCS Label
1,U_BLOOD,Blood,,222,,
19,U_NUCMED,Nuclear Medicine,,,'C2561ZZ',"Nonimaging Nuclear Medicine Probe of Right and Left Heart using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C256YZZ',"Nonimaging Nuclear Medicine Probe of Right and Left Heart using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C25YYZZ',"Nonimaging Nuclear Medicine Probe of Heart using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C51B1ZZ',"Planar Nuclear Medicine Imaging of Right Lower Extremity Veins using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C51BYZZ',"Planar Nuclear Medicine Imaging of Right Lower Extremity Veins using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C51C1ZZ',"Planar Nuclear Medicine Imaging of Left Lower Extremity Veins using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C51CYZZ',"Planar Nuclear Medicine Imaging of Left Lower Extremity Veins using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C51D1ZZ',"Planar Nuclear Medicine Imaging of Bilateral Lower Extremity Veins using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C51DYZZ',"Planar Nuclear Medicine Imaging of Bilateral Lower Extremity Veins using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C51N1ZZ',"Planar Nuclear Medicine Imaging of Right Upper Extremity Veins using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C51NYZZ',"Planar Nuclear Medicine Imaging of Right Upper Extremity Veins using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C51P1ZZ',"Planar Nuclear Medicine Imaging of Left Upper Extremity Veins using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C51PYZZ',"Planar Nuclear Medicine Imaging of Left Upper Extremity Veins using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C51Q1ZZ',"Planar Nuclear Medicine Imaging of Bilateral Upper Extremity Veins using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C51QYZZ',"Planar Nuclear Medicine Imaging of Bilateral Upper Extremity Veins using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C51R1ZZ',"Planar Nuclear Medicine Imaging of Central Veins using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C51RYZZ',"Planar Nuclear Medicine Imaging of Central Veins using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C51YYZZ',"Planar Nuclear Medicine Imaging of Veins using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C7101ZZ',"Planar Nuclear Medicine Imaging of Bone Marrow using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C710DZZ',"Planar Nuclear Medicine Imaging of Bone Marrow using Indium 111 (In-111) "
19,U_NUCMED,Nuclear Medicine,,,'C710YZZ',"Planar Nuclear Medicine Imaging of Bone Marrow using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C7121ZZ',"Planar Nuclear Medicine Imaging of Spleen using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C712YZZ',"Planar Nuclear Medicine Imaging of Spleen using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C713DZZ',"Planar Nuclear Medicine Imaging of Blood using Indium 111 (In-111) "
19,U_NUCMED,Nuclear Medicine,,,'C713YZZ',"Planar Nuclear Medicine Imaging of Blood using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C7151ZZ',"Planar Nuclear Medicine Imaging of Head and Neck Lymphatics using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C715YZZ',"Planar Nuclear Medicine Imaging of Head and Neck Lymphatics using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C71D1ZZ',"Planar Nuclear Medicine Imaging of Pelvic Lymphatics using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C71DYZZ',"Planar Nuclear Medicine Imaging of Pelvic Lymphatics using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C71J1ZZ',"Planar Nuclear Medicine Imaging of Head Lymphatics using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C71JYZZ',"Planar Nuclear Medicine Imaging of Head Lymphatics using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C71K1ZZ',"Planar Nuclear Medicine Imaging of Neck Lymphatics using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C71KYZZ',"Planar Nuclear Medicine Imaging of Neck Lymphatics using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C71L1ZZ',"Planar Nuclear Medicine Imaging of Upper Chest Lymphatics using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C71LYZZ',"Planar Nuclear Medicine Imaging of Upper Chest Lymphatics using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C71M1ZZ',"Planar Nuclear Medicine Imaging of Trunk Lymphatics using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C71MYZZ',"Planar Nuclear Medicine Imaging of Trunk Lymphatics using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C71N1ZZ',"Planar Nuclear Medicine Imaging of Upper Extremity Lymphatics using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C71NYZZ',"Planar Nuclear Medicine Imaging of Upper Extremity Lymphatics using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C71P1ZZ',"Planar Nuclear Medicine Imaging of Lower Extremity Lymphatics using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C71PYZZ',"Planar Nuclear Medicine Imaging of Lower Extremity Lymphatics using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C71YYZZ',"Planar Nuclear Medicine Imaging of Lymphatic and Hematologic System using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C7221ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Spleen using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C722YZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Spleen using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C72YYZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Lymphatic and Hematologic System using Other Radionuc "
19,U_NUCMED,Nuclear Medicine,,,'C7551ZZ',"Nonimaging Nuclear Medicine Probe of Head and Neck Lymphatics using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C755YZZ',"Nonimaging Nuclear Medicine Probe of Head and Neck Lymphatics using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C75D1ZZ',"Nonimaging Nuclear Medicine Probe of Pelvic Lymphatics using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C75DYZZ',"Nonimaging Nuclear Medicine Probe of Pelvic Lymphatics using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C75J1ZZ',"Nonimaging Nuclear Medicine Probe of Head Lymphatics using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C75JYZZ',"Nonimaging Nuclear Medicine Probe of Head Lymphatics using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C75K1ZZ',"Nonimaging Nuclear Medicine Probe of Neck Lymphatics using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C75KYZZ',"Nonimaging Nuclear Medicine Probe of Neck Lymphatics using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C75L1ZZ',"Nonimaging Nuclear Medicine Probe of Upper Chest Lymphatics using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C75LYZZ',"Nonimaging Nuclear Medicine Probe of Upper Chest Lymphatics using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C75M1ZZ',"Nonimaging Nuclear Medicine Probe of Trunk Lymphatics using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C75MYZZ',"Nonimaging Nuclear Medicine Probe of Trunk Lymphatics using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C75N1ZZ',"Nonimaging Nuclear Medicine Probe of Upper Extremity Lymphatics using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C75NYZZ',"Nonimaging Nuclear Medicine Probe of Upper Extremity Lymphatics using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C75P1ZZ',"Nonimaging Nuclear Medicine Probe of Lower Extremity Lymphatics using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C75PYZZ',"Nonimaging Nuclear Medicine Probe of Lower Extremity Lymphatics using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C75YYZZ',"Nonimaging Nuclear Medicine Probe of Lymphatic and Hematologic System using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C7631ZZ',"Nonimaging Nuclear Medicine Assay of Blood using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C7637ZZ',"Nonimaging Nuclear Medicine Assay of Blood using Cobalt 58 (Co-58) "
19,U_NUCMED,Nuclear Medicine,,,'C763CZZ',"Nonimaging Nuclear Medicine Assay of Blood using Cobalt 57 (Co-57) "
19,U_NUCMED,Nuclear Medicine,,,'C763DZZ',"Nonimaging Nuclear Medicine Assay of Blood using Indium 111 (In-111) "
19,U_NUCMED,Nuclear Medicine,,,'C763HZZ',"Nonimaging Nuclear Medicine Assay of Blood using Iodine 125 (I-125) "
19,U_NUCMED,Nuclear Medicine,,,'C763WZZ',"Nonimaging Nuclear Medicine Assay of Blood using Chromium (Cr-51) "
19,U_NUCMED,Nuclear Medicine,,,'C763YZZ',"Nonimaging Nuclear Medicine Assay of Blood using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C76YYZZ',"Nonimaging Nuclear Medicine Assay of Lymphatic and Hematologic System using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C91B1ZZ',"Planar Nuclear Medicine Imaging of Bilateral Salivary Glands using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'C91BYZZ',"Planar Nuclear Medicine Imaging of Bilateral Salivary Glands using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'C91YYZZ',"Planar Nuclear Medicine Imaging of Ear, Nose, Mouth and Throat using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CB121ZZ',"Planar Nuclear Medicine Imaging of Lungs and Bronchi using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CB129ZZ',"Planar Nuclear Medicine Imaging of Lungs and Bronchi using Krypton (Kr-81m) "
19,U_NUCMED,Nuclear Medicine,,,'CB12TZZ',"Planar Nuclear Medicine Imaging of Lungs and Bronchi using Xenon 127 (Xe-127) "
19,U_NUCMED,Nuclear Medicine,,,'CB12VZZ',"Planar Nuclear Medicine Imaging of Lungs and Bronchi using Xenon 133 (Xe-133) "
19,U_NUCMED,Nuclear Medicine,,,'CB12YZZ',"Planar Nuclear Medicine Imaging of Lungs and Bronchi using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CB1YYZZ',"Planar Nuclear Medicine Imaging of Respiratory System using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CB221ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Lungs and Bronchi using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CB229ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Lungs and Bronchi using Krypton (Kr-81m) "
19,U_NUCMED,Nuclear Medicine,,,'CB22YZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Lungs and Bronchi using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CB2YYZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Respiratory System using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CB32KZZ',"Positron Emission Tomographic (PET) Imaging of Lungs and Bronchi using Fluorine 18 (F-18) "
19,U_NUCMED,Nuclear Medicine,,,'CB32YZZ',"Positron Emission Tomographic (PET) Imaging of Lungs and Bronchi using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CB3YYZZ',"Positron Emission Tomographic (PET) Imaging of Respiratory System using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CD151ZZ',"Planar Nuclear Medicine Imaging of Upper Gastrointestinal Tract using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CD15DZZ',"Planar Nuclear Medicine Imaging of Upper Gastrointestinal Tract using Indium 111 (In-111) "
19,U_NUCMED,Nuclear Medicine,,,'CD15YZZ',"Planar Nuclear Medicine Imaging of Upper Gastrointestinal Tract using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CD171ZZ',"Planar Nuclear Medicine Imaging of Gastrointestinal Tract using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CD17DZZ',"Planar Nuclear Medicine Imaging of Gastrointestinal Tract using Indium 111 (In-111) "
19,U_NUCMED,Nuclear Medicine,,,'CD17YZZ',"Planar Nuclear Medicine Imaging of Gastrointestinal Tract using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CD1YYZZ',"Planar Nuclear Medicine Imaging of Digestive System using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CD271ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Gastrointestinal Tract using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CD27DZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Gastrointestinal Tract using Indium 111 (In-111) "
19,U_NUCMED,Nuclear Medicine,,,'CD27YZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Gastrointestinal Tract using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CD2YYZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Digestive System using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CF141ZZ',"Planar Nuclear Medicine Imaging of Gallbladder using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CF14YZZ',"Planar Nuclear Medicine Imaging of Gallbladder using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CF151ZZ',"Planar Nuclear Medicine Imaging of Liver using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CF15YZZ',"Planar Nuclear Medicine Imaging of Liver using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CF161ZZ',"Planar Nuclear Medicine Imaging of Liver and Spleen using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CF16YZZ',"Planar Nuclear Medicine Imaging of Liver and Spleen using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CF1C1ZZ',"Planar Nuclear Medicine Imaging of Hepatobiliary System, All using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CF1CYZZ',"Planar Nuclear Medicine Imaging of Hepatobiliary System, All using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CF1YYZZ',"Planar Nuclear Medicine Imaging of Hepatobiliary System and Pancreas using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CF241ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Gallbladder using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CF24YZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Gallbladder using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CF251ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Liver using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CF25YZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Liver using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CF261ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Liver and Spleen using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CF26YZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Liver and Spleen using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CF2YYZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Hepatobiliary System and Pancreas using Other Radionu "
19,U_NUCMED,Nuclear Medicine,,,'CG111ZZ',"Planar Nuclear Medicine Imaging of Parathyroid Glands using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CG11SZZ',"Planar Nuclear Medicine Imaging of Parathyroid Glands using Thallium 201 (Tl-201) "
19,U_NUCMED,Nuclear Medicine,,,'CG11YZZ',"Planar Nuclear Medicine Imaging of Parathyroid Glands using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CG121ZZ',"Planar Nuclear Medicine Imaging of Thyroid Gland using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CG12FZZ',"Planar Nuclear Medicine Imaging of Thyroid Gland using Iodine 123 (I-123) "
19,U_NUCMED,Nuclear Medicine,,,'CG12GZZ',"Planar Nuclear Medicine Imaging of Thyroid Gland using Iodine 131 (I-131) "
19,U_NUCMED,Nuclear Medicine,,,'CG12YZZ',"Planar Nuclear Medicine Imaging of Thyroid Gland using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CG14GZZ',"Planar Nuclear Medicine Imaging of Bilateral Adrenal Glands using Iodine 131 (I-131) "
19,U_NUCMED,Nuclear Medicine,,,'CG14YZZ',"Planar Nuclear Medicine Imaging of Bilateral Adrenal Glands using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CG1YYZZ',"Planar Nuclear Medicine Imaging of Endocrine System using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CG211ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Parathyroid Glands using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CG21SZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Parathyroid Glands using Thallium 201 (Tl-201) "
19,U_NUCMED,Nuclear Medicine,,,'CG21YZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Parathyroid Glands using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CG2YYZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Endocrine System using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CG421ZZ',"Nonimaging Nuclear Medicine Uptake of Thyroid Gland using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CG42FZZ',"Nonimaging Nuclear Medicine Uptake of Thyroid Gland using Iodine 123 (I-123) "
19,U_NUCMED,Nuclear Medicine,,,'CG42GZZ',"Nonimaging Nuclear Medicine Uptake of Thyroid Gland using Iodine 131 (I-131) "
19,U_NUCMED,Nuclear Medicine,,,'CG42YZZ',"Nonimaging Nuclear Medicine Uptake of Thyroid Gland using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CG4YYZZ',"Nonimaging Nuclear Medicine Uptake of Endocrine System using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CH101ZZ',"Planar Nuclear Medicine Imaging of Right Breast using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CH10SZZ',"Planar Nuclear Medicine Imaging of Right Breast using Thallium 201 (Tl-201) "
19,U_NUCMED,Nuclear Medicine,,,'CH10YZZ',"Planar Nuclear Medicine Imaging of Right Breast using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CH111ZZ',"Planar Nuclear Medicine Imaging of Left Breast using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CH11SZZ',"Planar Nuclear Medicine Imaging of Left Breast using Thallium 201 (Tl-201) "
19,U_NUCMED,Nuclear Medicine,,,'CH11YZZ',"Planar Nuclear Medicine Imaging of Left Breast using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CH121ZZ',"Planar Nuclear Medicine Imaging of Bilateral Breasts using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CH12SZZ',"Planar Nuclear Medicine Imaging of Bilateral Breasts using Thallium 201 (Tl-201) "
19,U_NUCMED,Nuclear Medicine,,,'CH12YZZ',"Planar Nuclear Medicine Imaging of Bilateral Breasts using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CH1YYZZ',"Planar Nuclear Medicine Imaging of Skin, Subcutaneous Tissue and Breast using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CH201ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Right Breast using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CH20SZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Right Breast using Thallium 201 (Tl-201) "
19,U_NUCMED,Nuclear Medicine,,,'CH20YZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Right Breast using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CH211ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Left Breast using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CH21SZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Left Breast using Thallium 201 (Tl-201) "
19,U_NUCMED,Nuclear Medicine,,,'CH21YZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Left Breast using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CH221ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Bilateral Breasts using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CH22SZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Bilateral Breasts using Thallium 201 (Tl-201) "
19,U_NUCMED,Nuclear Medicine,,,'CH22YZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Bilateral Breasts using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CH2YYZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Skin, Subcutaneous Tissue and Breast using Other Radi "
19,U_NUCMED,Nuclear Medicine,,,'CP111ZZ',"Planar Nuclear Medicine Imaging of Skull using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CP11YZZ',"Planar Nuclear Medicine Imaging of Skull using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CP141ZZ',"Planar Nuclear Medicine Imaging of Thorax using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CP14YZZ',"Planar Nuclear Medicine Imaging of Thorax using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CP151ZZ',"Planar Nuclear Medicine Imaging of Spine using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CP15YZZ',"Planar Nuclear Medicine Imaging of Spine using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CP161ZZ',"Planar Nuclear Medicine Imaging of Pelvis using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CP16YZZ',"Planar Nuclear Medicine Imaging of Pelvis using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CP171ZZ',"Planar Nuclear Medicine Imaging of Spine and Pelvis using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CP17YZZ',"Planar Nuclear Medicine Imaging of Spine and Pelvis using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CP181ZZ',"Planar Nuclear Medicine Imaging of Right Upper Extremity using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CP18YZZ',"Planar Nuclear Medicine Imaging of Right Upper Extremity using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CP191ZZ',"Planar Nuclear Medicine Imaging of Left Upper Extremity using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CP19YZZ',"Planar Nuclear Medicine Imaging of Left Upper Extremity using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CP1B1ZZ',"Planar Nuclear Medicine Imaging of Bilateral Upper Extremities using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CP1BYZZ',"Planar Nuclear Medicine Imaging of Bilateral Upper Extremities using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CP1C1ZZ',"Planar Nuclear Medicine Imaging of Right Lower Extremity using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CP1CYZZ',"Planar Nuclear Medicine Imaging of Right Lower Extremity using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CP1D1ZZ',"Planar Nuclear Medicine Imaging of Left Lower Extremity using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CP1DYZZ',"Planar Nuclear Medicine Imaging of Left Lower Extremity using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CP1F1ZZ',"Planar Nuclear Medicine Imaging of Bilateral Lower Extremities using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CP1FYZZ',"Planar Nuclear Medicine Imaging of Bilateral Lower Extremities using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CP1YYZZ',"Planar Nuclear Medicine Imaging of Musculoskeletal System, Other using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CP1Z1ZZ',"Planar Nuclear Medicine Imaging of Musculoskeletal System, All using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CP1ZYZZ',"Planar Nuclear Medicine Imaging of Musculoskeletal System, All using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CP211ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Skull using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CP21YZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Skull using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CP221ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Cervical Spine using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CP22YZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Cervical Spine using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CP231ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Skull and Cervical Spine using Technetium 99m (Tc-99m "
19,U_NUCMED,Nuclear Medicine,,,'CP23YZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Skull and Cervical Spine using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CP241ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Thorax using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CP24YZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Thorax using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CP261ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Pelvis using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CP26YZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Pelvis using Other Radionuclide "
